,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SH3TC2,392.136280382478,-1.20269071375285,0.309454618095795,-3.88648494294096,0.000101706231982379,0.00370926394937217
SHISA2,9.55334871605021,-1.5615481046743,0.503985947684749,-3.09839611966934,0.00194571169019081,0.0232541302807636
SIDT1,18.5399704286702,1.03674651404433,0.325755298808869,3.18259293965505,0.00145962662172317,0.0192925414014873
SILC1,348.737624856302,-1.19986349407144,0.265212970500134,-4.52415088073844,6.06384562214339e-06,0.000827795077776842
SIX3,14.119114398323,2.12001948987623,0.576476837012203,3.67754496583763,0.000235489572232658,0.00604539942191404
SIX5,22.389413269819,1.40783082912344,0.39203840252681,3.5910533765303,0.000329344171759499,0.00740594656825824
SLAIN1,224.36510442279,-1.10562971150857,0.263400772479529,-4.19751886488676,2.69855184596809e-05,0.00180990903662937
SLC16A12,8.13496834050462,1.49092451016725,0.521525131267199,2.85877788198741,0.00425276448522647,0.0386675640683519
SLC31A2,220.822331126251,-1.12316003234207,0.269874705722363,-4.16178325914519,3.15771990707962e-05,0.00203229202124268
SLC38A11,6.482387613144,1.82624453422671,0.666427852851822,2.74034845094142,0.00613740785605763,0.0491228007386145
SLC47A2,27.3928197000541,2.09454448434556,0.541771316450715,3.86610442588114,0.000110587601838498,0.00384952389908228
SLC5A11,319.606599012866,-1.11542692313986,0.321822448340464,-3.46596991257683,0.000528322398245993,0.0101017294282103
SLCO1A2,2187.21691353444,-1.03937034901856,0.255720293728101,-4.06448128877752,4.81394004063608e-05,0.00258224552713115
SLIT3,15.8579842471384,1.54813452113751,0.4885546016764,3.16880552516612,0.0015306677697092,0.0200431988408597
SPAG17,56.317738517929,2.57961143191066,0.461995922006266,5.58362381362247,2.35557940084055e-08,3.3136271942967e-05
SPAG6,13.3502676448722,1.89245151396424,0.651271080218198,2.90578158841354,0.00366337060736826,0.0349467205761643
SPAG8,25.0254850215981,1.46351741182071,0.44040801084705,3.32309443919035,0.000890247696233498,0.0140710578889426
SPART-AS1,20.4952517518804,-1.24782910666079,0.44002547269136,-2.83581107027417,0.00457094771314134,0.0406228539091181
SPATA17,34.9470187652926,1.24219402390086,0.443297166143262,2.8021700086831,0.00507601164473914,0.0436149342007514
SPATA18,10.2823677877111,2.68601277511217,0.839103105920506,3.20105211881629,0.00136926762421555,0.0184701072543158
SPEF1,7.42436004407165,1.64454320130336,0.569918012060332,2.88557856832444,0.00390694929897623,0.0365700853108545
